file_name,filmnr_negativnr,filnavn_a,filnavn_b
USD_UNIHIST_BREV_124467.tif,airz010255f.tif,airz010255f.tif,
USD_UNIHIST_BREV_124471.tif,airz010255s1.tif,airz010255s1.tif,
USD_UNIHIST_BREV_124475.tif,airz010255s2.tif,airz010255s2.tif,
USD_UNIHIST_BREV_124463.tif,airz010255s3.tif,airz010255s3.tif,
USD_UNIHIST_BREV_124483.tif,airz061256s1.tif,airz061256s1.tif,
USD_UNIHIST_BREV_124479.tif,airz061256s2.tif,airz061256s2.tif,
USD_UNIHIST_BREV_124487.tif,airz080857s1.tif,airz080857s1.tif,
USD_UNIHIST_BREV_124495.tif,airz090352s1.tif,airz090352s1.tif,
USD_UNIHIST_BREV_124491.tif,airz090352s2.tif,airz090352s2.tif,
USD_UNIHIST_BREV_124511.tif,airz090357s1.tif,airz090357s1.tif,
USD_UNIHIST_BREV_124507.tif,airz090357s2.tif,airz090357s2.tif,
USD_UNIHIST_BREV_124519.tif,airz090957s1.tif,airz090957s1.tif,
USD_UNIHIST_BREV_124515.tif,airz090957s2.tif,airz090957s2.tif,
USD_UNIHIST_BREV_124527.tif,airz100158s1.tif,airz100158s1.tif,
USD_UNIHIST_BREV_124523.tif,airz100158s2.tif,airz100158s2.tif,
USD_UNIHIST_BREV_338162.tif,airz120255s1.tif,airz120255s1.tif,
USD_UNIHIST_BREV_338158.tif,airz120255s2.tif,airz120255s2.tif,
USD_UNIHIST_BREV_338286.tif,airz140157s1.tif,airz140157s1.tif,
USD_UNIHIST_BREV_338273.tif,airz140157s2.tif,airz140157s2.tif,
USD_UNIHIST_BREV_338359.tif,airz150865s1.tif,airz150865s1.tif,
USD_UNIHIST_BREV_338348.tif,airz150865s2.tif,airz150865s2.tif,
USD_UNIHIST_BREV_338439.tif,airz170457s1.tif,airz170457s1.tif,
USD_UNIHIST_BREV_338432.tif,airz170457s2.tif,airz170457s2.tif,
USD_UNIHIST_BREV_338619.tif,airz201060s1.tif,airz201060s1.tif,
USD_UNIHIST_BREV_338623.tif,airz201060s2.tif,airz201060s2.tif,
USD_UNIHIST_BREV_338607.tif,airz201060s3.tif,airz201060s3.tif,
USD_UNIHIST_BREV_338690.tif,airz210653s1.tif,airz210653s1.tif,
USD_UNIHIST_BREV_338681.tif,airz210653s2.tif,airz210653s2.tif,
USD_UNIHIST_BREV_339913.tif,airz220559s1.tif,airz220559s1.tif,
USD_UNIHIST_BREV_339997.tif,airz261158s1.tif,airz261158s1.tif,
USD_UNIHIST_BREV_339983.tif,airz261158s2.tif,airz261158s2.tif,
USD_UNIHIST_BREV_340160.tif,airz290365s1.tif,airz290365s1.tif,
USD_UNIHIST_BREV_340145.tif,airz290365s2.tif,airz290365s2.tif,
USD_UNIHIST_BREV_340252.tif,airz290459s1.tif,airz290459s1.tif,
USD_UNIHIST_BREV_340239.tif,airz290459s2.tif,airz290459s2.tif,
USD_UNIHIST_BREV_340341.tif,airz290951s1.tif,airz290951s1.tif,
USD_UNIHIST_BREV_340328.tif,airz290951s2.tif,airz290951s2.tif,
USD_UNIHIST_BREV_346877.tif,airz310358s1.tif,airz310358s1.tif,
USD_UNIHIST_BREV_346858.tif,airz310358s2.tif,airz310358s2.tif,
USD_UNIHIST_BREV_124230.tif,Akrell180144s1.tif,Akrell180144s1.tif,
USD_UNIHIST_BREV_124234.tif,Akrell180144s2.tif,Akrell180144s2.tif,
USD_UNIHIST_BREV_124226.tif,Akrell180144sf.tif,Akrell180144sf.tif,
USD_UNIHIST_BREV_124242.tif,Akrell210342f.tif,Akrell210342f.tif,
USD_UNIHIST_BREV_124246.tif,Akrell210342s1.tif,Akrell210342s1.tif,
USD_UNIHIST_BREV_124238.tif,Akrell210342s2.tif,Akrell210342s2.tif,
USD_UNIHIST_BREV_124255.tif,Andresen201214f.tif,Andresen201214f.tif,
